"id";"fase";"titulo";"acao";"criterio_aceite";"responsavel";"prioridade";"status";"evidencia";"dependencias";"status_anterior";"natureza";"constatacao";"proxima_acao";"referencias_auditoria";"dependencias_diretas_abertas"
"62";"7";"Definir grade responsiva";"Construir limites de largura, margens e quebra de colunas.";"Sem rolagem horizontal em 360, 390, 768 e 1440 pixels.";"Design de produto + frontend";"P0";"done";"docs/audit/responsive-check.json";"61";"done";"entrega";"Evidência de 360, 390, 768 e 1440 pixels sem overflow está preservada.";"Repetir ao alterar layouts; não equivale a QA de todos os navegadores.";"docs/audit/responsive-check.json, tests/storefront.spec.ts";"61"
"63";"7";"Implementar botões e links";"Criar ações primárias, secundárias e ícones com hierarquia consistente.";"Hover, foco, disabled e nomes acessíveis ficam inspecionados.";"Design de produto + frontend";"P0";"done";"src/app/globals.css";"61";"done";"entrega";"Estados de hover, foco, disabled e nomes estão presentes e cobertos nos controles principais.";"Manter revisão de novos controles.";"src/app/globals.css, tests/storefront.spec.ts";"61"
"64";"7";"Implementar cartão de produto";"Combinar imagem, categoria, título, favorito e adicionar à seleção.";"Ações são independentes, acessíveis e não abrem destinos inesperados.";"Design de produto + frontend";"P0";"done";"src/components/Storefront.tsx";"42, 61";"done";"entrega";"Card separa detalhe, favorito e seleção; E2E exercitam ações.";"Nenhuma ação para o card da prévia.";"src/components/Storefront.tsx, tests/storefront.spec.ts";"61"
"65";"7";"Implementar diálogos acessíveis";"Usar modal com Escape, contenção de foco e restauração do foco.";"Testes de teclado comprovam abertura, fechamento e retorno ao acionador.";"Design de produto + frontend";"P0";"done";"src/components/Modal.tsx";"61";"done";"entrega";"Diálogo contém foco e restaura acionador nos casos exercitados.";"Ampliar cobertura de tecnologias assistivas nas etapas 173–180.";"src/components/Modal.tsx, tests/storefront.spec.ts";"61"
"66";"7";"Implementar controles de formulário";"Padronizar labels, ajuda, validação e estados de campos.";"Erros podem ser identificados sem depender apenas de cor.";"Design de produto + frontend";"P0";"done";"src/components/Storefront.tsx";"61";"done";"entrega";"Labels, obrigatoriedade e validação nativa identificam erros sem depender só de cor.";"Validação com leitor de tela permanece na etapa 177.";"src/components/Storefront.tsx, tests/storefront.spec.ts";"61"
"67";"7";"Implementar feedback de interação";"Adicionar mensagens de adição e estados de download.";"Feedback é anunciado por tecnologia assistiva sem capturar foco.";"Design de produto + frontend";"P0";"done";"src/components/Storefront.tsx";"61";"done";"entrega";"Toast usa região de status e feedback não captura foco.";"Validar anúncios com leitores reais antes do lançamento.";"src/components/Storefront.tsx, tests/storefront.spec.ts";"61"
"68";"7";"Especificar movimento";"Limitar animações a feedback e transições discretas.";"Preferência de movimento reduzido desativa transições e rolagem suave.";"Design de produto + frontend";"P0";"done";"src/app/globals.css";"61";"done";"tecnica";"CSS e scrollIntoView consultam prefers-reduced-motion; a rolagem explícita passa a ser instantânea quando necessário.";"Reexecutar a sonda de movimento ao criar novas transições controladas por JavaScript.";"src/app/globals.css, src/components/Storefront.tsx, docs/audit/plan-browser-scenarios.json";"61"
"69";"7";"Catalogar componentes";"Criar documentação de variantes, exemplos e decisões de uso.";"Biblioteca permite reproduzir todas as páginas MVP sem improvisos.";"Design de produto + frontend";"P0";"partial";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"61, 62, 63, 64, 65, 66, 67, 68";"done";"tecnica";"Inventário descritivo existe; faltam exemplos reproduzíveis e variantes completas da biblioteca.";"Documentar estados e exemplos de todos os templates e componentes.";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md, docs/DESIGN_SYSTEM.md";"61"
"70";"7";"Revisar consistência transversal";"Inspecionar tipografia, densidade, ícones e espaçamento entre páginas.";"Desvios do sistema de design são corrigidos ou justificados.";"Design de produto + frontend";"P0";"partial";"docs/VALIDACAO.md";"69";"pending";"validacao";"Há revisão e capturas de algumas telas; não há inventário transversal de desvios da revisão atual.";"Comparar todas as rotas e estados com o sistema visual.";"docs/VALIDACAO.md, docs/DESIGN_SYSTEM.md";"69"
"71";"8";"Construir cabeçalho público";"Organizar marca, navegação, busca e seleção em desktop e mobile.";"Todos os destinos e controles realizam a ação indicada.";"Design + frontend + conteúdo";"P0";"done";"src/components/Storefront.tsx";"63";"done";"entrega";"Cabeçalho e menu executam navegação, busca, favoritos e seleção na prévia.";"Nenhuma ação para o cabeçalho no escopo atual.";"src/components/Storefront.tsx, tests/storefront.spec.ts";""
"72";"8";"Construir hero editorial";"Aplicar conceito visual preto e champanhe com proposta clara.";"Título legível, imagem principal priorizada e CTA visível em telas testadas.";"Design + frontend + conteúdo";"P0";"done";"src/components/Storefront.tsx";"36, 61";"done";"entrega";"Hero prioriza imagem, mantém título e CTAs e tem evidência responsiva.";"Desempenho global permanece separado da implementação visual.";"src/components/Storefront.tsx, docs/audit/responsive-check.json";"61"
"73";"8";"Construir proposta de valor";"Apresentar curadoria, identidade e projeto sem promessas operacionais não verificadas.";"Textos da faixa de valor são sustentáveis pelo serviço proposto.";"Design + frontend + conteúdo";"P0";"done";"src/components/Storefront.tsx";"21";"done";"entrega";"Proposta de valor é apresentada sem selos, números ou garantias operacionais inventadas.";"Aprovar promessa de serviço com operação.";"src/components/Storefront.tsx";""
"74";"8";"Construir curadoria em destaque";"Exibir seleção curta com continuidade para mais produtos.";"Quatro peças iniciais e expansão para oito funcionam na prévia.";"Design + frontend + conteúdo";"P0";"done";"src/components/Storefront.tsx";"42, 48, 64";"done";"entrega";"Curadoria expande de quatro para oito peças locais.";"Integração dinâmica permanece nas etapas 127–128.";"src/components/Storefront.tsx, tests/storefront.spec.ts";""
"75";"8";"Construir coleções editoriais";"Criar entradas por contexto de presente com imagens e narrativa.";"Cliques conduzem à seleção correspondente com filtro aplicado.";"Design + frontend + conteúdo";"P0";"done";"src/components/Storefront.tsx";"42, 48";"done";"entrega";"Coleções acionam categorias correspondentes mantendo IDs.";"Taxonomia real por ocasião permanece na etapa 53.";"src/components/Storefront.tsx";""
"76";"8";"Construir seção de personalização";"Explicar peça, identidade e apresentação com fotografia e texto.";"Limitações por produto ficam visíveis e não há promessa universal de técnica.";"Design + frontend + conteúdo";"P0";"done";"src/components/Storefront.tsx";"35";"done";"entrega";"Seção explica possibilidades e informa consulta por peça.";"Conteúdo técnico por produto permanece na etapa 98.";"src/components/Storefront.tsx";""
"77";"8";"Construir explicação do processo";"Mostrar como seleção e briefing avançam para proposta comercial.";"Comprador consegue descrever o próximo passo após ler a seção.";"Design + frontend + conteúdo";"P0";"partial";"src/components/Storefront.tsx";"21";"pending";"validacao";"Seção de três passos existe; compreensão do próximo passo não foi testada com compradores.";"Executar teste de compreensão sem orientação.";"src/components/Storefront.tsx";""
"78";"8";"Construir perguntas frequentes";"Responder mínimo, prazo, personalização e kits.";"Acordeões funcionam por teclado e respostas refletem condições a confirmar.";"Design + frontend + conteúdo";"P0";"done";"src/components/Storefront.tsx";"21";"done";"entrega";"FAQ usa details/summary nativos e respostas condicionam condições comerciais.";"Nenhuma ação para a FAQ da prévia.";"src/components/Storefront.tsx";""
"79";"8";"Construir encerramento e rodapé";"Reforçar a ação de projeto, navegação e privacidade.";"Nenhum contato fictício, selo sem prova ou link vazio é exibido.";"Design + frontend + conteúdo";"P0";"done";"src/components/Storefront.tsx";"71";"done";"entrega";"Rodapé tem destinos reais e privacidade sem contatos fictícios.";"Adicionar contatos somente após definição comercial.";"src/components/Storefront.tsx";""
"80";"8";"Validar home com usuários";"Observar compreensão de oferta e primeiro caminho escolhido.";"Cinco compradores completam tarefa sem explicação prévia do moderador.";"Design + frontend + conteúdo";"P0";"pending";"docs/ESTRATEGIA_E_PESQUISA.md";"71, 72, 73, 74, 75, 76, 77, 78, 79";"pending";"validacao";"Não houve teste da home com cinco compradores.";"Executar tarefas e registrar compreensão e caminhos escolhidos.";"docs/ESTRATEGIA_E_PESQUISA.md";"77"
"81";"9";"Implementar busca da seleção";"Permitir buscar nome, SKU e categoria com normalização de acentos.";"Busca de caderno, código válido e consulta sem resultados são testadas.";"UX + frontend + backend";"P0";"done";"src/lib/catalog.ts";"42";"done";"entrega";"Busca normaliza acentos e encontra nome, SKU e categoria na amostra.";"Relevância de catálogo amplo permanece na etapa 90.";"src/lib/catalog.ts, tests/storefront.spec.ts";""
"82";"9";"Implementar categorias iniciais";"Filtrar a seleção por kits, escrita, lifestyle e viagem.";"Filtro ativo e listagem mantêm correspondência sem itens de outra categoria.";"UX + frontend + backend";"P0";"done";"src/components/Storefront.tsx";"42";"done";"entrega";"Categorias filtram a amostra e indicam estado ativo.";"Nenhuma ação para filtros simples existentes.";"src/components/Storefront.tsx, tests/storefront.spec.ts";""
"83";"9";"Implementar favoritos locais";"Salvar identificadores válidos e oferecer listagem de favoritos.";"Favorito persiste após recarregar e armazenamento corrompido não quebra a página.";"UX + frontend + backend";"P0";"done";"tests/storefront.spec.ts";"64";"done";"entrega";"Favoritos válidos persistem e entradas corrompidas são descartadas.";"Definir política de retenção antes de ampliar persistência.";"tests/storefront.spec.ts, src/lib/catalog.ts";""
"84";"9";"Implementar estados sem resultados";"Explicar busca vazia e oferecer recuperação de filtros.";"Usuário pode voltar à seleção completa em uma ação.";"UX + frontend + backend";"P0";"done";"src/components/Storefront.tsx";"81";"done";"entrega";"Estado vazio oferece limpeza de filtros em uma ação.";"Correção da URL ao limpar a barra de busca pertence à etapa 88.";"src/components/Storefront.tsx, tests/storefront.spec.ts";""
"85";"9";"Projetar filtros comerciais reais";"Incluir material, faixa de investimento, prazo e mínimo conforme dados aprovados.";"Filtros usam atributos confiáveis e não prometem estoque ou prazo inexistentes.";"UX + frontend + backend";"P0";"pending";"src/components/Storefront.tsx";"45, 46";"pending";"misto";"Não existem filtros de material, investimento, prazo ou mínimo.";"Homologar atributos e implementar filtros úteis.";"src/components/Storefront.tsx, src/lib/products.json";"45, 46"
"86";"9";"Implementar facetas combináveis";"Permitir múltiplas escolhas por atributo e indicar quantidade de resultados.";"Semântica OR no grupo e AND entre grupos é validada no contrato.";"UX + frontend + backend";"P0";"pending";"src/components/Storefront.tsx";"85";"pending";"tecnica";"Não há multisseleção de facetas nem semântica OR/AND contratada.";"Implementar facetas e contagens após aprovação dos atributos.";"src/components/Storefront.tsx, docs/CONTRATO_CATALOGO_PUBLICO_V1.md";"85"
"87";"9";"Implementar ordenação pública";"Ordenar por critérios úteis com desempate determinístico.";"Paginação não repete nem perde produtos ao mudar ordenação.";"UX + frontend + backend";"P0";"done";"src/components/Storefront.tsx";"126";"pending";"tecnica";"A interface oferece curadoria ou nome, preserva a escolha na URL e a fonte usa ID como desempate determinístico.";"Manter casos de empate quando houver ampliação de catálogo.";"src/components/Storefront.tsx, src/lib/site-database.ts, tests/public-api.spec.ts";"126"
"88";"9";"Implementar URLs de busca";"Manter consulta, filtros e página ao compartilhar ou usar voltar.";"Navegação e política de indexação tratam parâmetros consistentemente.";"UX + frontend + backend";"P0";"done";"src/components/Storefront.tsx";"86";"pending";"tecnica";"Busca, categoria, página e ordenação sincronizam URL; popstate restaura a consulta e respostas antigas não sobrescrevem o filtro mais recente.";"Incluir facetas futuras no mesmo contrato de URL.";"src/components/Storefront.tsx, docs/audit/plan-browser-scenarios.json, tests/storefront.spec.ts";"86"
"89";"9";"Implementar paginação de servidor";"Buscar apenas o conjunto necessário com cancelamento e limites.";"Nenhuma jornada pública baixa milhares de registros para filtrar no cliente.";"UX + frontend + backend";"P0";"done";"src/app/api/catalog/route.ts";"127";"pending";"tecnica";"A fonte aplica filtro, ordenação, contagem e offset antes de devolver uma página; uma página acima do total é normalizada para a última página publicada.";"Monitorar a contagem e manter o limite de 24 ao ampliar a curadoria.";"src/app/api/catalog/route.ts, src/lib/site-database.ts, docs/audit/plan-scenarios.json";""
"90";"9";"Testar relevância da descoberta";"Avaliar consultas reais, abreviações e sinônimos do comercial.";"Conjunto de referência tem ranking esperado e métricas de acerto.";"UX + frontend + backend";"P0";"pending";"docs/ESTRATEGIA_E_PESQUISA.md";"81, 86, 87, 88, 89";"pending";"validacao";"Não há conjunto de consultas reais, sinônimos e ranking esperado.";"Construir referência com comercial e medir acerto.";"docs/ESTRATEGIA_E_PESQUISA.md";"86"
"91";"10";"Construir detalhe rápido";"Exibir fotografia, descrição, SKU, mínimo e inclusão no projeto.";"As oito peças da prévia têm dados de origem e modal funcional.";"UX + conteúdo + frontend";"P0";"done";"src/components/Storefront.tsx";"42, 48";"done";"entrega";"Detalhes rápidos das oito peças incluem foto, SKU, descrição e mínimo.";"Dados comerciais revisados dependem das etapas 43–46.";"src/components/Storefront.tsx, tests/storefront.spec.ts";""
"92";"10";"Construir páginas permanentes";"Criar rota indexável por slug com ID canônico estável.";"Link direto e navegação sem JavaScript preservam conteúdo principal.";"UX + conteúdo + frontend";"P0";"done";"src/app/produtos/[slug]/page.tsx";"91, 126";"pending";"entrega";"Rotas por slug entregam conteúdo e links no HTML inicial; noindex da prévia é intencional.";"Conectar fichas à fonte publicada antes da abertura comercial.";"src/app/produtos/[slug]/page.tsx, tests/public-api.spec.ts";"126"
"93";"10";"Construir galeria fiel ao SKU";"Reunir ângulos, detalhes, escala e embalagem real.";"Imagens não misturam variantes ou sugerem componentes não inclusos.";"UX + conteúdo + frontend";"P0";"partial";"src/lib/products.json";"49";"pending";"misto";"Há uma foto por SKU; não existe galeria de ângulos, escala e embalagem homologada.";"Obter mídia autorizada e construir galeria fiel.";"src/lib/products.json, src/app/produtos/[slug]/page.tsx";"49"
"94";"10";"Exibir variantes confirmadas";"Oferecer apenas cores e tamanhos existentes para a peça.";"Seleção de variante atualiza imagem, SKU e condições de disponibilidade.";"UX + conteúdo + frontend";"P0";"pending";"src/lib/products.json";"124";"pending";"misto";"Modelo e UI não oferecem variantes de cor/tamanho com SKU e disponibilidade.";"Homologar variantes e implementar seleção sincronizada.";"src/lib/products.json, src/app/produtos/[slug]/page.tsx";"124"
"95";"10";"Exibir informação técnica revisada";"Organizar materiais, medidas, capacidade e itens inclusos.";"Conteúdo coincide com ficha validada e resolve ambiguidades da importação.";"UX + conteúdo + frontend";"P0";"partial";"src/lib/products.json";"43, 44";"pending";"negocio";"Descrições de origem são exibidas sem quadro técnico revisado por SKU.";"Aprovar materiais, medidas e inclusões e estruturar apresentação.";"src/lib/products.json, src/app/produtos/[slug]/page.tsx";"43, 44"
"96";"10";"Explicar condições de preço";"Diferenciar item, personalização, embalagem, frete e impostos.";"Qualquer preço de entrada tem quantidade de referência e validade explícitas.";"UX + conteúdo + frontend";"P0";"partial";"src/components/Storefront.tsx";"46";"pending";"negocio";"Valores estão sob consulta e FAQ cita fatores; preço contextual por produto não está definido.";"Validar condições e apresentá-las junto da oferta quando houver preço.";"src/components/Storefront.tsx, src/app/produtos/[slug]/page.tsx";"46"
"97";"10";"Explicar prazo e disponibilidade";"Mostrar estimativas condicionadas às etapas reais de produção.";"Consulta de estoque não é apresentada como reserva garantida.";"UX + conteúdo + frontend";"P0";"partial";"src/app/produtos/[slug]/page.tsx";"124";"pending";"misto";"Aviso impede promessa de estoque, mas não há consulta nem estimativa por etapas reais.";"Implementar disponibilidade e prazos confirmáveis com a operação.";"src/app/produtos/[slug]/page.tsx, docs/ARQUITETURA_E_INTEGRACAO.md";"124"
"98";"10";"Criar conteúdo de personalização por peça";"Relacionar técnica, local de gravação e limites aplicáveis.";"Informações são consistentes com áreas e técnicas aprovadas no sistema.";"UX + conteúdo + frontend";"P0";"partial";"src/lib/products.json";"101";"pending";"misto";"Apenas booleano personalizable e texto genérico; técnicas e áreas por peça estão ausentes.";"Vincular técnicas, áreas e limites homologados por SKU.";"src/lib/products.json, src/app/produtos/[slug]/page.tsx";"101"
"99";"10";"Criar recomendação contextual";"Sugerir complementos ou alternativas compatíveis com ocasião e faixa.";"Sem recomendação de itens inativos, indisponíveis ou não validados.";"UX + conteúdo + frontend";"P0";"pending";"src/components/Storefront.tsx";"53, 127";"pending";"tecnica";"Não há recomendação contextual de complementos ou alternativas.";"Implementar regras sobre catálogo aprovado e elegibilidade.";"src/components/Storefront.tsx, src/app/produtos/[slug]/page.tsx";"53"
"100";"10";"Validar decisão de produto";"Testar se comprador entende inclusões, mínimo e próxima ação.";"Dúvidas críticas são resolvidas antes de enviar briefing.";"UX + conteúdo + frontend";"P0";"pending";"docs/ESTRATEGIA_E_PESQUISA.md";"92, 93, 94, 95, 96, 97, 98, 99";"pending";"validacao";"Não existe teste de decisão de produto com compradores.";"Validar compreensão de inclusões, mínimo e próxima ação.";"docs/ESTRATEGIA_E_PESQUISA.md";"93, 94, 95, 96, 97, 98, 99"
"101";"11";"Mapear técnicas disponíveis";"Relacionar técnicas e áreas reais ao catálogo público aprovado.";"Não há enumeração de técnica universal sem elegibilidade por produto.";"Produto + operação + frontend";"P1";"partial";"docs/AUDITORIA_PROJETO_INTERNO.md";"123, 124";"pending";"misto";"Auditoria interna localiza recursos de personalização; vitrine não mapeia técnicas e áreas.";"Inspecionar dados autorizados e publicar elegibilidade por produto.";"docs/AUDITORIA_PROJETO_INTERNO.md, src/lib/products.json";"123, 124"
"102";"11";"Projetar escolha de gravação";"Desenhar seleção de posição, técnica, cores e observações.";"Fluxo mantém dependências claras e previne combinações inválidas.";"Produto + operação + frontend";"P1";"pending";"src/components/Storefront.tsx";"101";"pending";"tecnica";"UI não permite escolher posição, técnica ou cores de gravação.";"Desenhar e implementar combinações válidas.";"src/components/Storefront.tsx";"101"
"103";"11";"Definir envio de logotipo";"Especificar tipos permitidos, tamanho máximo, retenção e acesso.";"Contrato exige validação de conteúdo e armazenamento privado.";"Produto + operação + frontend";"P1";"partial";"docs/ARQUITETURA_E_INTEGRACAO.md";"141";"pending";"misto";"Arquitetura exige storage privado e validação; tipos, tamanho e retenção não estão fechados.";"Especificar limites, validação de conteúdo, retenção e acesso.";"docs/ARQUITETURA_E_INTEGRACAO.md, docs/MODELO_DE_AMEACAS_PREVIA.md";"141"
"104";"11";"Implementar upload seguro";"Receber arquivo pelo backend autorizado com verificação adequada.";"Arquivo inválido, excessivo ou sem autorização é rejeitado e registrado sem conteúdo sensível.";"Produto + operação + frontend";"P1";"pending";"docs/MODELO_DE_AMEACAS_PREVIA.md";"103, 145";"pending";"tecnica";"Não há endpoint, storage ou UI de upload.";"Implementar upload validado após contrato e autorização de acesso.";"docs/MODELO_DE_AMEACAS_PREVIA.md";"103, 145"
"105";"11";"Distinguir simulação de prova final";"Identificar visualização como aproximada e prever aprovação de arte.";"Nenhum preview é tratado como ordem de produção automaticamente.";"Produto + operação + frontend";"P1";"pending";"src/components/Storefront.tsx";"102";"pending";"misto";"Não existe simulação de arte nem fluxo de prova final; imagem de campanha não é esse recurso.";"Projetar aviso e aprovação versionada da arte.";"src/components/Storefront.tsx, docs/ARQUITETURA_E_INTEGRACAO.md";"102"
"106";"11";"Definir composição de kits";"Mapear componentes, quantidades, embalagem e compatibilidade.";"Um kit preserva IDs de todos os componentes e regras de múltiplos.";"Produto + operação + frontend";"P1";"pending";"src/lib/catalog.ts";"101";"pending";"misto";"Seleção de peças não modela kit, componentes, múltiplos e compatibilidade.";"Definir composição estruturada com regras aprovadas.";"src/lib/catalog.ts, docs/ARQUITETURA_E_INTEGRACAO.md";"101"
"107";"11";"Definir apresentação do kit";"Oferecer embalagens de acordo com capacidade e disponibilidade.";"Dimensões e inclusão da embalagem são confirmadas no orçamento.";"Produto + operação + frontend";"P1";"pending";"src/components/Storefront.tsx";"106";"pending";"misto";"Embalagem só aparece como intenção em texto livre.";"Modelar opções com capacidade, dimensão e disponibilidade.";"src/components/Storefront.tsx";"106"
"108";"11";"Projetar cartão e mensagem";"Permitir texto com limites adequados à produção e revisão.";"Limites de caracteres e necessidade de aprovação ficam claros.";"Produto + operação + frontend";"P1";"pending";"src/components/Storefront.tsx";"107";"pending";"misto";"Textarea genérico não equivale a cartão com limites e revisão de produção.";"Definir e implementar mensagem e aprovação do cartão.";"src/components/Storefront.tsx";"107"
"109";"11";"Implementar cálculo consistente";"Reutilizar cálculo validado no backend para peças e personalização.";"Preço público não revela custo, margem ou regras comerciais internas.";"Produto + operação + frontend";"P1";"pending";"docs/ARQUITETURA_E_INTEGRACAO.md";"106, 136";"pending";"tecnica";"Não há adaptador de cálculo público para peça e personalização.";"Integrar cálculo validado sem expor custos e margens.";"docs/ARQUITETURA_E_INTEGRACAO.md, docs/AUDITORIA_PROJETO_INTERNO.md";"106, 136"
"110";"11";"Testar passagem da arte à produção";"Simular kit completo com peça, gravação, embalagem e mensagem.";"Operação recebe todas as decisões com versão e aprovação registradas.";"Produto + operação + frontend";"P1";"pending";"docs/ARQUITETURA_E_INTEGRACAO.md";"104, 105, 107, 108, 109";"pending";"validacao";"Não há jornada testada de arte/kit até produção.";"Simular e homologar o fluxo completo com a operação.";"docs/ARQUITETURA_E_INTEGRACAO.md";"104, 105, 107, 108, 109"
"111";"12";"Implementar seleção persistente";"Salvar produtos e quantidades com validação dos dados locais.";"Recarregar preserva seleção válida e descarta IDs desconhecidos.";"UX + frontend + comercial";"P0";"done";"src/lib/catalog.ts";"42";"done";"entrega";"Seleção de IDs e quantidades persiste e rejeita IDs desconhecidos na amostra.";"Expiração em todas as rotas continua aberta na etapa 56.";"src/lib/catalog.ts, tests/storefront.spec.ts";""
"112";"12";"Implementar edição de quantidade";"Permitir editar, aumentar, diminuir e remover peças.";"Valor respeita mínimo cadastrado e limite máximo da prévia.";"UX + frontend + comercial";"P0";"done";"src/components/Storefront.tsx";"111";"done";"entrega";"Editar, aumentar, diminuir e remover respeitam limites da prévia.";"Aplicar regras comerciais novas quando homologadas.";"src/components/Storefront.tsx, tests/storefront.spec.ts";""
"113";"12";"Implementar briefing aberto";"Permitir começar projeto sem produto escolhido.";"Fluxo gera documento que solicita recomendação sem inventar itens.";"UX + frontend + comercial";"P0";"done";"src/components/Storefront.tsx";"111";"done";"entrega";"Briefing sem peças gera pedido explícito de recomendação.";"Nenhuma ação para o briefing aberto local.";"src/components/Storefront.tsx";""
"114";"12";"Implementar formulário progressivo";"Separar seleção e informações do projeto com campos essenciais.";"Contato obrigatório e campos opcionais têm labels e validação clara.";"UX + frontend + comercial";"P0";"done";"src/components/Storefront.tsx";"66";"done";"tecnica";"O rascunho controlado permanece em memória ao voltar entre etapas e é excluído ao iniciar outro briefing; PII não vai ao armazenamento local.";"Rever campos e retenção somente junto da política comercial aprovada.";"src/components/Storefront.tsx, docs/audit/plan-browser-scenarios.json";""
"115";"12";"Implementar exportação de briefing";"Gerar arquivo local com SKUs, IDs, quantidade, ocasião e contato.";"Download contém seleção correta e informa que não houve envio comercial.";"UX + frontend + comercial";"P0";"done";"tests/storefront.spec.ts";"112, 113, 114";"done";"entrega";"Download inclui IDs, SKUs e quantidades corretos e informa não envio.";"Nenhuma ação para a exportação local testada.";"tests/storefront.spec.ts, src/components/Storefront.tsx";""
"116";"12";"Definir formulário de produção";"Validar dados indispensáveis, aviso de privacidade e finalidade com comercial.";"Solicitação de marketing fica separada do atendimento quando aplicável.";"UX + frontend + comercial";"P0";"partial";"src/components/Storefront.tsx";"24, 146";"pending";"negocio";"Campos iniciais e aviso local existem; finalidade e dados de produção não foram aprovados.";"Homologar formulário e política com responsáveis comercial e jurídico.";"src/components/Storefront.tsx, src/app/privacidade/page.tsx";"24, 146"
"117";"12";"Implementar envio real no backend";"Enviar briefing validado com chave de idempotência e proteção contra abuso.";"Duplo clique e retry não geram oportunidades duplicadas.";"UX + frontend + comercial";"P0";"partial";"src/app/api/briefings/route.ts";"116, 126, 134";"pending";"tecnica";"Entrega opcional usa chave estável, persistência/hash, lease atômica e rate limit compartilhado no banco; falta receptor comercial homologado e validar o cabeçalho de IP no proxy real.";"Integrar o destino aprovado e validar a criação de oportunidade sem duplicação.";"src/app/api/briefings/route.ts, src/components/Storefront.tsx, docs/audit/plan-browser-scenarios.json, supabase/migrations/20260922142000_add_briefing_rate_limit.sql";"116, 126"
"118";"12";"Implementar resposta confiável";"Apresentar protocolo somente após confirmação persistida no servidor.";"Falha permite tentar novamente e sucesso nunca é simulado por temporizador.";"UX + frontend + comercial";"P0";"partial";"src/app/api/briefings/route.ts";"117";"pending";"tecnica";"Protocolo é persistido antes da entrega; a interface rejeita 2xx sem protocolo válido e mantém o formulário. Falta validar retorno e conciliação do CRM homologado.";"Testar resposta, erro e conciliação com o receptor comercial aprovado.";"src/app/api/briefings/route.ts, docs/audit/plan-database-check.json, tests/storefront.spec.ts";"117"
"119";"12";"Implementar confirmação transacional";"Enviar confirmação pelo canal aprovado com resumo e próximos passos.";"Mensagem contém protocolo correto e passa por teste de entrega autorizado.";"UX + frontend + comercial";"P0";"pending";"docs/CONTRATO_BRIEFING_V1.md";"118";"pending";"misto";"Não existe canal de confirmação transacional implementado ou teste de entrega.";"Escolher canal e template e testar com destino autorizado.";"docs/CONTRATO_BRIEFING_V1.md";"118"
"120";"12";"Testar continuidade da jornada";"Acompanhar um briefing do navegador até o atendimento efetivo.";"Comercial localiza seleção e contexto sem redigitação.";"UX + frontend + comercial";"P0";"pending";"docs/audit/plan-database-check.json";"118, 119, 133";"pending";"validacao";"Não há briefing do navegador localizado por vendedor no CRM.";"Executar jornada integrada com dados sintéticos autorizados.";"docs/audit/plan-database-check.json, docs/ARQUITETURA_E_INTEGRACAO.md";"118, 119, 133"
"121";"13";"Definir projeção pública mínima";"Listar campos permitidos para lista, detalhe, variante e preço de venda.";"Custos, margem, origem interna, organização e credenciais ficam fora do DTO público.";"Arquitetura + backend + dados";"P0";"done";"docs/ARQUITETURA_E_INTEGRACAO.md";"4, 10";"done";"entrega";"Allowlist pública mínima está documentada e API omite campos internos.";"Contratos avançados serão versionados ao incluir variantes e preços.";"docs/ARQUITETURA_E_INTEGRACAO.md, tests/public-api.spec.ts";""
"122";"13";"Fixar host e configuração";"Validar URL por igualdade exata ou allowlist explícita no servidor.";"Configuração de projeto legado ou host parecido é rejeitada.";"Arquitetura + backend + dados";"P0";"done";"src/lib/site-database.ts";"4";"pending";"entrega";"Servidor rejeita projeto operacional e host semelhante antes de buscar dados.";"Manter testes da allowlist em futuras mudanças de configuração.";"src/lib/site-database.ts, docs/audit/plan-scenarios.json";""
"123";"13";"Revalidar esquema ao vivo";"Consultar pg_catalog do projeto correto com acesso autorizado.";"Inventário de grants, views, políticas e funções tem data e identidade comprovadas.";"Arquitetura + backend + dados";"P0";"partial";"docs/audit/plan-database-check.json";"4";"pending";"misto";"pg_catalog, grants e RLS da vitrine foram inspecionados; inventário administrativo do comercial não existe.";"Concluir inventário autorizado de views/funções operacionais necessárias à integração.";"docs/audit/plan-database-check.json, docs/audit/CANONICAL_CATALOG_LIVE_CHECK_2026-09-22.md";""
"124";"13";"Validar as views existentes";"Comparar colunas e definições efetivas com contratos do repositório.";"Diferenças são explicadas; SECURITY DEFINER não é alterado por suposição.";"Arquitetura + backend + dados";"P0";"partial";"docs/audit/CANONICAL_CATALOG_LIVE_CHECK_2026-09-22.md";"123";"pending";"misto";"View operacional teve leitura pública limitada; definições e políticas efetivas não foram revalidadas administrativamente.";"Comparar definições reais das views com contratos antes de criar adaptador.";"docs/audit/CANONICAL_CATALOG_LIVE_CHECK_2026-09-22.md, docs/AUDITORIA_PROJETO_INTERNO.md";"123"
"125";"13";"Projetar publicação editorial";"Definir como seleção premium, ordem, texto e visibilidade referenciam IDs canônicos.";"Modelo não duplica o catálogo operacional e suporta despublicação.";"Arquitetura + backend + dados";"P0";"partial";"supabase/migrations/20260922110900_create_premium_site_core.sql";"41, 124";"pending";"misto";"Tabela curada mantém IDs, ordem e published; faltam governança e sincronização de ciclo de vida.";"Definir fonte de cada campo, edição autorizada e retirada em todas as superfícies.";"supabase/migrations/20260922110900_create_premium_site_core.sql, scripts/sync-site-catalog.mjs, docs/ARQUITETURA_E_INTEGRACAO.md";"41, 124"
